Name,Sentence,Sentence_Category,Compound_Score,Sentiment_Result
University of Malaya Medical Centre,never understand need wait doctor hour patient could afford luxury,Doctor,0.0,Neutral
University of Malaya Medical Centre,sudah bagi tau pening kepala macam nak pengsan,Hospital,0.0,Neutral
University of Malaya Medical Centre,lagi suruh saya beratur tanpa kerusi,Hospital,0.0,Neutral
University of Malaya Medical Centre,tunggu lebih kurang 40min,Hospital,0.0,Neutral
University of Malaya Medical Centre,"itu time keep sabar, nasib baik lagi boleh tahan",Hospital,0.0,Neutral
University of Malaya Medical Centre,come man,Hospital,0.0,Neutral
University of Malaya Medical Centre,wife ha wait 10 hour (11 am-9pm) non-critical zone set ward room,Hospital,0.34,Positive
University of Malaya Medical Centre,10 hour think willing wait,Hospital,0.0,Neutral
University of Malaya Medical Centre,service staff doctor unprofessional,Doctor,-0.5106,Negative
University of Malaya Medical Centre,"pray change better future blessed clean halal sustenance, amen ya rabb",Hospital,0.8957,Positive
University of Malaya Medical Centre,"irresponsible nurse doctor, simple question cant answer wasting time take forever wait",Doctor,-0.1635,Neutral
University of Malaya Medical Centre,would give negative start possible,Hospital,-0.5719,Negative
University of Malaya Medical Centre,rude staff,Hospital,-0.4588,Negative
University of Malaya Medical Centre,updte patient status,Hospital,0.0,Neutral
University of Malaya Medical Centre,due covid,Hospital,0.0,Neutral
University of Malaya Medical Centre,"walkin counter ask patient progress, response",Hospital,0.4215,Positive
University of Malaya Medical Centre,ask u go r1 room,Hospital,0.0,Neutral
University of Malaya Medical Centre,n alrdy ask nurse also response,Hospital,0.0,Neutral
University of Malaya Medical Centre,"answer""we got many emergncy case here""",Hospital,0.0,Neutral
University of Malaya Medical Centre,"wa call careline ask regarding patient status, answer u need walkin ask doc ur self hangup call",Hospital,0.0,Neutral
University of Malaya Medical Centre,tht u treat ur cust,Hospital,0.4019,Positive
University of Malaya Medical Centre,else n wanna know patient status n progress,Hospital,0.4215,Positive
University of Malaya Medical Centre,tht patient die rdy u call fmly,Hospital,-0.5994,Negative
University of Malaya Medical Centre,please upgrade ur service,Hospital,0.3182,Positive
University of Malaya Medical Centre,rude emergncy staff,Hospital,-0.4588,Negative
University of Malaya Medical Centre,atleast u updte ur frontdesk counter tht ask patient status,Hospital,0.0,Neutral
University of Malaya Medical Centre,frontdesk also dunno anything,Hospital,0.0,Neutral
University of Malaya Medical Centre,zero,Hospital,0.0,Neutral
University of Malaya Medical Centre,"dad ha observation ward past 30 hours, food provided",Hospital,0.34,Positive
University of Malaya Medical Centre,"nurse can’t advise bed available, one help provide food patient even u pay",Hospital,0.3182,Positive
University of Malaya Medical Centre,hospital,Hospital,0.0,Neutral
University of Malaya Medical Centre,"semi private , seriously",Hospital,-0.1779,Neutral
University of Malaya Medical Centre,never send love one,Hospital,-0.5216,Negative
University of Malaya Medical Centre,called ppum ask procedure see doctor ankle issue,Doctor,0.0,Neutral
University of Malaya Medical Centre,staff told come ppum 7:30am registration first time coming ppum,Hospital,0.0,Neutral
University of Malaya Medical Centre,"late 30 minute (after 8am), go back",Hospital,0.0,Neutral
University of Malaya Medical Centre,staff also mentioned lot patient,Hospital,0.0,Neutral
University of Malaya Medical Centre,"honestly, problem many patients, paid tax every year, service get",Hospital,0.0772,Neutral
University of Malaya Medical Centre,"suruh bayar cukai punyelah gila smpi hantar surat mahkamah bagai, health problem, one seems care",Hospital,0.128,Neutral
University of Malaya Medical Centre,asking people come 7:30am feel like hospital doe put effort serve rakyat,Hospital,0.3612,Positive
University of Malaya Medical Centre,think everybody free 7:30am think ppl earth busy,Hospital,0.5106,Positive
University of Malaya Medical Centre,"again, know paying rm20k tax every year",Hospital,0.0,Neutral
University of Malaya Medical Centre,2 bulan di ppum doc masih x confirm ank sakit apa,Hospital,0.0,Neutral
University of Malaya Medical Centre,doc sombong terutama prof,Hospital,0.0,Neutral
University of Malaya Medical Centre,"(respi), staf suka bergosip fasal pesakit",Hospital,0.0,Neutral
University of Malaya Medical Centre,semua negatif thinking xde pon yg bg support pd peskit,Hospital,0.4019,Positive
University of Malaya Medical Centre,byk buat test tp result xpenah bgtau pada parent,Hospital,0.0,Neutral
University of Malaya Medical Centre,dah x tahan aku discharge dengan bill 25k tp xtau anak aku sakit ape sebenarny,Hospital,0.0,Neutral
University of Malaya Medical Centre,sgt mengecewakan,Hospital,0.0,Neutral
University of Malaya Medical Centre,visited emergency pregnant wife cramp abdomen area,Hospital,-0.5267,Negative
University of Malaya Medical Centre,cramp longed 1 hour,Hospital,-0.2023,Neutral
University of Malaya Medical Centre,emergency triage asked u go klinik wanita dan kanak-kanak,Hospital,-0.3818,Negative
University of Malaya Medical Centre,asked around register check ended like ping pong ball,Hospital,0.3612,Positive
University of Malaya Medical Centre,stopped 3rd floor maternity ward instead,Hospital,-0.2263,Neutral
University of Malaya Medical Centre,"eventhough nurse answered u politely dont take walk patient asked u go 'government hospital' instead, still frustrated whole flow ppum",Hospital,-0.5267,Negative
University of Malaya Medical Centre,"wife wa excruciating pain due cramp them, immediate attention given wa treated like nothing",Hospital,-0.7845,Negative
University of Malaya Medical Centre,"one come pain energy ask around go,",Hospital,-0.296,Neutral
University of Malaya Medical Centre,came emergency,Hospital,-0.3818,Negative
University of Malaya Medical Centre,see dangerous flow system one day might take one's life,Hospital,-0.4767,Negative
University of Malaya Medical Centre,hope attention given need,Hospital,0.4404,Positive
University of Malaya Medical Centre,kayangan vip asking treated likewise,Hospital,0.5106,Positive
University of Malaya Medical Centre,mere person pain panic knowing nothing,Hospital,-0.765,Negative
University of Malaya Medical Centre,hospital regardless status seek remediation calm,Hospital,0.3182,Positive
University of Malaya Medical Centre,hoping better service insyaallah,Hospital,0.6908,Positive
University of Malaya Medical Centre,thank staff politely answered question,Hospital,0.3612,Positive
University of Malaya Medical Centre,"blaming you, system instead need change",Hospital,-0.4939,Negative
University of Malaya Medical Centre,"nurse ate blind salary, told stay outside hour, apparently talking",Hospital,-0.4019,Negative
University of Malaya Medical Centre,"i'm moldy, that's one thing",Hospital,0.0,Neutral
University of Malaya Medical Centre,"patient came dh bape kali, check la history system",Hospital,0.0,Neutral
University of Malaya Medical Centre,"doc asked hurts,",Hospital,-0.4767,Negative
University of Malaya Medical Centre,father,Hospital,0.0,Neutral
University of Malaya Medical Centre,waste time,Hospital,-0.4215,Negative
University of Malaya Medical Centre,doctors handling patient rude,Doctor,-0.4588,Negative
University of Malaya Medical Centre,willing listen actual problem giving simple solution,Hospital,0.25,Neutral
University of Malaya Medical Centre,"really concern bout patient, want make money",Hospital,0.0772,Neutral
University of Malaya Medical Centre,professional,Hospital,0.0,Neutral
University of Malaya Medical Centre,thinking patient slave,Hospital,0.0,Neutral
University of Malaya Medical Centre,respect talk also,Hospital,0.4767,Positive
University of Malaya Medical Centre,shame doctor like,Doctor,-0.1531,Neutral
University of Malaya Medical Centre,given one star post comment,Hospital,0.0,Neutral
University of Malaya Medical Centre,doctors nephro department handling kid rude,Doctor,-0.4588,Negative
University of Malaya Medical Centre,know talk talk front kid,Hospital,0.0,Neutral
University of Malaya Medical Centre,willing listen children's actual problem giving simple solution,Doctor,0.25,Neutral
University of Malaya Medical Centre,"really concern bout patient, want make money",Hospital,0.0772,Neutral
University of Malaya Medical Centre,professional,Hospital,0.0,Neutral
University of Malaya Medical Centre,thinking parent slave,Hospital,0.0,Neutral
University of Malaya Medical Centre,respect talk also,Hospital,0.4767,Positive
University of Malaya Medical Centre,malaysia shame doctor like,Doctor,-0.1531,Neutral
University of Malaya Medical Centre,surgical ward nurses needs proper mannerism dealing patient immobile,Hospital,0.0,Neutral
University of Malaya Medical Centre,ha sometime since came ur medical center,Hospital,0.34,Positive
University of Malaya Medical Centre,decided leave review,Hospital,-0.0516,Neutral
University of Malaya Medical Centre,u rude nurse named ranjit kaur barriar,Hospital,-0.4588,Negative
University of Malaya Medical Centre,disgusting uncaring,Hospital,-0.5267,Negative
University of Malaya Medical Centre,cursing patient,Hospital,0.0,Neutral
University of Malaya Medical Centre,shame,Hospital,-0.4767,Negative
University of Malaya Medical Centre,medical line,Hospital,0.0,Neutral
University of Malaya Medical Centre,"u value life loved ones, avoid sending here, coz staff doctor obviously value life patient",Doctor,0.7579,Positive
University of Malaya Medical Centre,slow,Hospital,0.0,Neutral
University of Malaya Medical Centre,sistem nombor menunggu teruk,Hospital,0.0,Neutral
University of Malaya Medical Centre,dan sering tersesat kerana signage yang tak membantu,Hospital,0.0,Neutral
University of Malaya Medical Centre,bad service,Hospital,-0.5423,Negative
University of Malaya Medical Centre,nurse care patient stroke,Hospital,0.4939,Positive
University of Malaya Medical Centre,"know can't walk, expect patient walk",Hospital,0.0,Neutral
University of Malaya Medical Centre,falling worse,Hospital,-0.5719,Negative
University of Malaya Medical Centre,bed full urine,Hospital,0.0,Neutral
University of Malaya Medical Centre,dirty change,Hospital,-0.4404,Negative
University of Malaya Medical Centre,people want pray,Hospital,0.3818,Positive
University of Malaya Medical Centre,please think,Hospital,0.3182,Positive
University of Malaya Medical Centre,nurse afraid sworn patient,Hospital,0.0,Neutral
University of Malaya Medical Centre,payment expensive anymore,Hospital,0.0,Neutral
University of Malaya Medical Centre,really disappointed,Hospital,-0.5256,Negative
University of Malaya Medical Centre,come hospital,Hospital,0.0,Neutral
University of Malaya Medical Centre,bad bad bad bad,Hospital,-0.9325,Negative
University of Malaya Medical Centre,rude,Hospital,-0.4588,Negative
University of Malaya Medical Centre,"went emergency room wa bounced around different counter zero assistance guy counter wa phone rudely asked go somewhere else talk another staff also seem know even ask need help with, dad who's verge fainting waiting",Hospital,-0.4767,Negative
University of Malaya Medical Centre,worst medical center ever,Hospital,-0.6249,Negative
University of Malaya Medical Centre,doctor kept father emergency ward without treatment wa hypertension 11 1am candidly asked take home,Doctor,-0.3818,Negative
University of Malaya Medical Centre,bp wa still showing 194/94 time,Hospital,0.0,Neutral
University of Malaya Medical Centre,tell reason spike bp could explain nothing wa done manage bp since morning,Hospital,0.0,Neutral
University of Malaya Medical Centre,doctor said started shift 11 pm know previous doctor,Doctor,0.0,Neutral
University of Malaya Medical Centre,"pushed asking hospital take responsibility anything untoward wa happen father, simply answered bp 194/94 reason ward father bed",Hospital,0.0,Neutral
University of Malaya Medical Centre,2 hour ago informed warded,Hospital,0.0,Neutral
University of Malaya Medical Centre,switched flash,Hospital,0.0,Neutral
University of Malaya Medical Centre,doctor went saying admit father insisted concern admit,Doctor,0.3818,Positive
University of Malaya Medical Centre,wa appalled disgusted response,Hospital,-0.7506,Negative
University of Malaya Medical Centre,"father diabetic, amputee, undergone angiogram medical centre 3 stem also suffers hypertension",Hospital,-0.4767,Negative
University of Malaya Medical Centre,government pensioner going ppum life,Hospital,0.0,Neutral
University of Malaya Medical Centre,shame ppum,Hospital,-0.4767,Negative
University of Malaya Medical Centre,wrote numerous complaint ppum ha response,Hospital,0.0516,Neutral
University of Malaya Medical Centre,please avoid hospital cost,Hospital,0.0258,Neutral
University of Malaya Medical Centre,care patient's suffering life,Hospital,0.0258,Neutral
University of Malaya Medical Centre,would even given sad reason health facility 1star minimum leave review,Hospital,-0.5106,Negative
University of Malaya Medical Centre,avoid place please,Hospital,0.0258,Neutral
University of Malaya Medical Centre,"unless need see specialist, get specific medication/treatment, come",Hospital,0.0,Neutral
University of Malaya Medical Centre,"want money cunning way get you, even time everyone struggling due covid",Hospital,-0.3612,Negative
Sunway Medical Centre,go 3rd booster jab 4th floor tower,Hospital,0.0,Neutral
Sunway Medical Centre,easy find,Hospital,0.4404,Positive
Sunway Medical Centre,morning bit jam come early,Hospital,0.0,Neutral
Sunway Medical Centre,**excellent facility services**,Hospital,0.0,Neutral
Sunway Medical Centre,surroundings atmosphere around hospital wa excellent,Hospital,0.5719,Positive
Sunway Medical Centre,spacious comfortable elder,Hospital,0.5106,Positive
Sunway Medical Centre,i‘ve bringing parent annual checkup decade,Hospital,0.0,Neutral
Sunway Medical Centre,even uneducated senior citizen also need worry,Hospital,-0.4404,Negative
Sunway Medical Centre,nice assistance ha providing health check team,Hospital,0.6369,Positive
Sunway Medical Centre,nice hospitalization,Hospital,0.4215,Positive
Sunway Medical Centre,service provided ha excellent,Hospital,0.7269,Positive
Sunway Medical Centre,would like extend gratitude & appreciation ms joanne dr ravi's clinic excellent service moment mother wa hospital till complete treatment,Doctor,0.926,Positive
Sunway Medical Centre,excellent,Hospital,0.5719,Positive
Sunway Medical Centre,keep good service job,Hospital,0.4404,Positive
Sunway Medical Centre,tqvm dr & staff good job,Doctor,0.4404,Positive
Sunway Medical Centre,excellent customer service friendly staff nuclear medicine centre,Hospital,0.7845,Positive
Sunway Medical Centre,helpful time first time,Hospital,0.4215,Positive
Sunway Medical Centre,would definitely recommend get nuclear medicine service,Hospital,0.6369,Positive
Sunway Medical Centre,sunway medical centre deserves 6 star,Hospital,0.0,Neutral
Sunway Medical Centre,"professionalism, empathy, care attention detail astounding",Hospital,0.7184,Positive
Sunway Medical Centre,dato tikfu gee team took time carefully explain condition & operative procedure,Hospital,0.128,Neutral
Sunway Medical Centre,nurse 4d ward taken care well operation,Hospital,0.6486,Positive
Sunway Medical Centre,lastly want shout mr,Hospital,0.0772,Neutral
Sunway Medical Centre,"khairil anwar, deserve gold medal",Hospital,0.4767,Positive
Sunway Medical Centre,let's picture speak,Hospital,0.0,Neutral
Sunway Medical Centre,sorry made tummy hungry,Hospital,-0.0772,Neutral
Sunway Medical Centre,"i've customer 13years, would like say food improves much compare past year",Hospital,0.6486,Positive
Sunway Medical Centre,keep,Hospital,0.0,Neutral
Sunway Medical Centre,world class medical centre focus medical tourism international patient,Hospital,0.0,Neutral
Sunway Medical Centre,many medical specialist also renowned researcher medical field,Hospital,0.0,Neutral
Sunway Medical Centre,well appointed hospital boast many cutting edge therapeutic medical technology diagnostic purpose,Hospital,0.1531,Neutral
Sunway Medical Centre,there's also four six starred hotel nearby complement hospital facility,Hospital,0.0,Neutral
Sunway Medical Centre,sincere thanks appreciation entire sunway cancer centre courteous professional treatment received,Hospital,0.7783,Positive
Sunway Medical Centre,"treatment health facility to, one best far",Hospital,0.6369,Positive
Sunway Medical Centre,"care, kindness comfort wa given wa true blessing difficult journey life",Hospital,0.9042,Positive
Sunway Medical Centre,one word describe entire experience,Hospital,0.0,Neutral
Sunway Medical Centre,lost,Hospital,-0.3182,Negative
Sunway Medical Centre,"arrival, wa informed smc 7am admission",Hospital,0.0,Neutral
Sunway Medical Centre,"arrived, went covid tent staff need check result negative letting",Hospital,-0.5719,Negative
Sunway Medical Centre,unfortunately nobody bothered check & wa redirected emergency actual admission counter yet open,Hospital,-0.743,Negative
Sunway Medical Centre,"got emergency, didn’t even notice booth get number go counter ask staff attended",Hospital,-0.3182,Negative
Sunway Medical Centre,"admin checked form, wa redirected different floor admission",Hospital,0.0,Neutral
Sunway Medical Centre,"made way , signage prominent managed find way daycare admission counter",Hospital,0.3182,Positive
Sunway Medical Centre,paperwork went smoothly however wa informed wa going receive room shared ward,Hospital,0.34,Positive
Sunway Medical Centre,"again, wa caught surprise wa ushered communal ward without knowing get choose private room necessity share ward many folk covid",Hospital,0.5106,Positive
Sunway Medical Centre,want delay process hence went along arrangement would good staff keep informed arrangement,Hospital,0.2263,Neutral
Sunway Medical Centre,"nurse showed bed space, walked away without informing next step",Hospital,0.0,Neutral
Sunway Medical Centre,wa waiting knowing process surgery,Hospital,0.0,Neutral
Sunway Medical Centre,good half hour passed nurse attended take gp left gown drawer,Doctor,0.4404,Positive
Sunway Medical Centre,also ask place could keep valuable,Hospital,0.4767,Positive
Sunway Medical Centre,nurse mentioned locker,Hospital,0.0,Neutral
Sunway Medical Centre,shouldn’t part sop inform patient,Hospital,0.0,Neutral
Sunway Medical Centre,"wa change gown, two wa mention two given",Hospital,0.0,Neutral
Sunway Medical Centre,"again, walk counter ask what’s difference size",Hospital,0.0,Neutral
Sunway Medical Centre,turns intent wa put longer gown instead short one,Hospital,0.0,Neutral
Sunway Medical Centre,however given gown size change,Hospital,0.0,Neutral
Sunway Medical Centre,"finally, wa time wheeled op theatre went different floor",Hospital,0.0,Neutral
Sunway Medical Centre,"arrived, staff wa attentive checked detail multiple time avoid error",Hospital,-0.5994,Negative
Sunway Medical Centre,surgery time wa getting closer nobody wheeled op theatre,Hospital,0.0,Neutral
Sunway Medical Centre,"long wait, took competent doctor attended earlier (anaesthetist dr tan - thank you) direct nurse bring room immediately",Doctor,0.5859,Positive
Sunway Medical Centre,point everyone wa scrambling,Hospital,0.0,Neutral
Sunway Medical Centre,"finally, surgeon arrived surgery wa performed successfully",Hospital,0.4939,Positive
Sunway Medical Centre,"however, wa wheeled back ward wa left alone knowing next step",Hospital,-0.25,Neutral
Sunway Medical Centre,sop staff informs patient nurse wa going come back minute check least place buzzer near buzz require assistance,Hospital,0.0,Neutral
Sunway Medical Centre,finally wa time go home nurse wa diligent getting wheelchair service,Hospital,0.0,Neutral
Sunway Medical Centre,however wa half past six service wa wheeled discharge pharmacy left payment counter,Hospital,0.0,Neutral
Sunway Medical Centre,"god’s sakes, literally surgery wa ga",Hospital,0.0,Neutral
Sunway Medical Centre,sop staff ensures wheel patient lobby instead leaving patient lurch,Hospital,0.0258,Neutral
Sunway Medical Centre,sincerely hope management look operational process better sops place,Hospital,0.836,Positive
Sunway Medical Centre,saving grace smc ha amazing doctor housed,Doctor,0.8402,Positive
Hospital Putrajaya,comfort,Hospital,0.3612,Positive
Hospital Putrajaya,good service doctor appointment,Doctor,0.4404,Positive
Hospital Putrajaya,nice n good staff,Hospital,0.6908,Positive
Hospital Putrajaya,never dissapointed ask staff question,Hospital,0.0,Neutral
Hospital Putrajaya,place really clean,Hospital,0.4576,Positive
Hospital Putrajaya,modern district hospital,Hospital,0.0,Neutral
Hospital Putrajaya,"beautiful, big best hospital government hospital",Hospital,0.8442,Positive
Hospital Putrajaya,better private hospital sure,Hospital,0.6369,Positive
Hospital Putrajaya,owh yes fpp,Hospital,0.4019,Positive
Hospital Putrajaya,service like private government hospital,Hospital,0.3612,Positive
Hospital Putrajaya,"pi google pi read, want talk hospital better glenegles, kpj",Hospital,0.4939,Positive
Hospital Putrajaya,want wife give birth stop see special hospital line,Hospital,0.2023,Neutral
Hospital Putrajaya,boss' biashe2,Hospital,0.0,Neutral
Hospital Putrajaya,excellent management managing patient,Hospital,0.5719,Positive
Hospital Putrajaya,good luck wifi,Hospital,0.7096,Positive
Hospital Putrajaya,putrajaya gov hospital,Hospital,0.0,Neutral
Hospital Putrajaya,"new parking area ha operational, limited parking problem ha successfully resolved",Hospital,0.6249,Positive
Hospital Putrajaya,syabas hospital putrajaya,Hospital,0.0,Neutral
